companyName,company_starRating,company_offeredRole,company_roleLocation,listing_jobDesc,requested_url,compensation_and_benefits,culture_and_values,career_opportunities,work_life_balance,job_type,industry,job_function,company_size,estimated_salary
Raytheon UK,3.9,Data Scientist,"Gloucester, England",Bonus scheme Flexible schedule On-site parking Work from home Monday to Friday No weekends Yes,https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1136043&s=58&guid=0000017b593817d59a9b27b61b4a7ce8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b6585737&cb=1629289453993&jobListingId=1007160666982&jrtk=2-0-1fdcjg612u3ek801-1fdcjg61gu1i3800-029f320de40d0e80,3.8,3.7,3.7,3.9,Full-time,Aerospace & Defense,data scientist,10000+ Employees,"£40,847 - £67,467 (Employer Est.)"
Behaviour Lab,NaN,Junior Data Scientist,"London, England",Casual dress Flexible schedule Gym membership Work from home Monday to Friday Bachelor's (preferred) Temporarily due to COVID-19,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000017b593817d59a9b27b61b4a7ce8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e06c3594&cb=1629289453990&jobListingId=1007200708733&jrtk=2-0-1fdcjg612u3ek801-1fdcjg61gu1i3800-3b829619a296d1c2,NaN,NaN,NaN,NaN,Full-time,NaN,data scientist,NaN,"£37,000 (Employer Est.)"
Behold.ai,NaN,Intern - Data Scientist,"London, England","Location: London
We have open positions for seasonal interns looking to start their career in the roles of a Data Scientist and Machine Learning Engineer.

The internship programme will gain valuable experience of working for an innovative and growing AI Medtech company. If you would like to apply for an internship, please send us your resume / CV by clicking on the button below.Show more ",https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=1136043&s=58&guid=0000017b593817d59a9b27b61b4a7ce8&src=GD_JOB_AD&t=SR&vt=w&cs=1_a8bef967&cb=1629289453996&jobListingId=1006612786539&jrtk=2-0-1fdcjg612u3ek801-1fdcjg61gu1i3800-d2617f20c8bf5051,NaN,NaN,NaN,NaN,Internship,NaN,data scientist,NaN,NaN
Kaedim,NaN,Data Scientist,"Bristol, England","Analysing and generating useful insights from various kinds of relevant data using profiling tools Developing and maintaining synthetic data generation systems Curating and generating datasets to achieve specific product milestones Contributing code as part of a broader machine learning team using Git Writing tests and technical documentation for your code Collaborating with other team members to troubleshoot and solve bugs and problems Implementing solutions from the ground up following technical specifications Total compensation of £35k - £45k, depending on your experience Flexible working hours and location, up to and including fully remote working Private health insurance Excellent annual leave Fantastic pension Great Career Development Opportunities Work at the intersection of art and technology, developing applications being used by world-renowned companies Be part of a team that values the ethical development and application of creative AI, promoting job creation not job replacement Kaedim is an early stage startup, so your contribution will have an impact on the company from day 1 Great potential for career advancement and professional development as the company grows Socialise and collaborate with colleagues across the company during our weekly social hour Passionate about data analysis, synthetic data creation and working with large datasets 2-3 years of professional experience managing and analysing large datasets Experience with data analysis and profiling tools Experience using Python, C++, and relevant geometry processing libraries Experience working with AWS Familiarity with Blender Familiar working as part of a team within an Agile Development Methodology and Scrum Framework Familiarity with testing frameworks and Continuous Integration/Continuous Delivery Experience with Git version control as part of a team Company pension Flexible schedule Private medical insurance Work from home 8 hour shift Monday to Friday Yes",https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=1136043&s=58&guid=0000017b593817d59a9b27b61b4a7ce8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f5f9f0f0&cb=1629289453996&jobListingId=1007221577058&jrtk=2-0-1fdcjg612u3ek801-1fdcjg61gu1i3800-d4358521d1334c9a,NaN,NaN,NaN,NaN,Full-time,NaN,data scientist,NaN,"£35,000 - £45,000 (Employer Est.)"
Department for Education,4.2,Graduate Data Scientist,"Bristol, England","developing and providing high quality data management and governance services, including developing a single education data store
 developing and delivering a suite of interactive predictive analytical tools for the agency to predict financial and academic performance (including risk and profile assessment tools, geo-spatial impact models and intervention policy modelling)
 interactive management information reports and dashboards to support the funding allocations and provider management functions of the agency
 analytical support to help forecast the costs of the Government programmes, including the development of innovative financial forecasting models
 collecting and automating provider data via online forms and data file upload systems
 Owning specific ‘projects’ (e.g., experiments or new capability) that support operational delivery across the DfE which includes identifying specific business needs and then determining the best tools, data and techniques to address it.
 Engaging and providing advice to users and stakeholders going beyond routine questioning to elicit the underlying causes of problems or inefficiencies
 Disseminating and communicating key findings to a range of stakeholders in a powerful manner exploiting interactive visualisation techniques
 Using interactive visualisation techniques to disseminate insights to the education sector.
 Actively participating in the wider capability development of Data Science in DfE through aspects such as code sharing or ‘show and tells’ (via collaboration tools or presentations)
 Keeping abreast of the wider Data Science landscape and emerging technologies across Government and industry in order to help make DfE a leader in the field.
 Working well with a variety of individuals to build community, capability and credibility completed a mathematics-based or computer science-based degree
 excellent numerical, IT and analytical skills
 ability and versatility to pick up new technologies and languages and integrate them
 an interest in understanding in data and a curiosity in business challenges
 problem solving mind set and good communication skills
 good programming skills
 experience of using analysis/data manipulation software packages such as R, SQL, Python, Power BI and Excel
 ability to build complex mathematical and analytical models
 awareness of infrastructure, security or web design
 awareness of Agile project methodology and collaboration tools
 excellent customer facing and people skills, being able to communicate between the technical and the non-technical
 a good understanding of data architecture, metadata management and ETL processes
 the ability to be innovative
 membership of the Government Statistical Society (GSS) or the Government Operational Research Society
 Changing and Improving Delivering at Pace Communicating and Influencing",https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=1136043&s=58&guid=0000017b593817d59a9b27b61b4a7ce8&src=GD_JOB_AD&t=SR&vt=w&cs=1_addd7e9e&cb=1629289453996&jobListingId=1007240367041&jrtk=2-0-1fdcjg612u3ek801-1fdcjg61gu1i3800-75ca6ea63f98613f,3.9,3.7,4.1,4.1,Full-time,NaN,data scientist,1001 to 5000 Employees,"£29,363 (Employer Est.)"
Openreach,4.0,Junior Data Scientist,"Leeds, England","Support the exploration of data sources to create new models to enhance operational performance and improve customer service. Support the development of, as well as maintain, end to end cost stack and predictive models. Gather data and build solutions to address business problems requiring descriptive, diagnostic, predictive, and / or prescriptive analytics. Create solutions to complex business problems and deliver predictions on future business outcomes in a repeatable and relevant way. Assist in developing end to end journey analytics, creating new data and insight to inform service, operational and transformational change across key efficiency measures for both field and desk. Support the creation of new value from insights from connecting external and internal data sources. Working knowledge in Python/ R, plus SQL/HQL and working knowledge of cloud-based technology (GCP). Passion for answering hard questions with data. Strong ability to reason under uncertainty, combine analytical thinking with contextual knowledge and use critical thinking to extract and interpret information from data. Good communication skills and ability to convey complex information into a simple high-level message designed to make the case for change within the business. Ability to work in teams, with peers and demonstrate vertical and lateral influence. Ability to build strong relationships with stakeholders across the business.",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000017b593817d59a9b27b61b4a7ce8&src=GD_JOB_AD&t=SR&vt=w&cs=1_cf97908e&cb=1629289453986&jobListingId=1007232975199&jrtk=2-0-1fdcjg612u3ek801-1fdcjg61gu1i3800-d22d3db47d442e09,4.1,3.9,3.8,3.9,Full-time,Telecommunications,data scientist,5001 to 10000 Employees,"£38,000 (Employer Est.)"
Public Sector Resourcing,NaN,Data Scientist (Inside IR35),Remote,"
Contributing to the analysts’ code repository, by manipulating, processing, analysing and presenting various sources of data directly from AWS Sagemaker notebooks (i.e. Jupyter) 
Being in charge of various tasks involving visualisation, development of data based models (e.g. statistical, machine learning), multivariate time series analysis, geospatial or other types of analysis making use of wastewater measurement data received daily and relating it to other data complementary sources 
Gaining an understanding of the rationale and science behind the use of wastewater to monitor markers of human activity (e.g. disease) 
Experience with advanced machine learning or statistical modelling concepts (e.g. Bayesian models, Random Forests, Neural Networks) 
Familiarity with standard statistical concepts 
Experience working with multiple data types (e.g. structured, unstructured, categorical) and handling non-standard datasets (e.g. sparse, noisy, anomalous) 
Some experience working, or familiarity, with environmental or microbiological data",https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1136043&s=58&guid=0000017b593817d59a9b27b61b4a7ce8&src=GD_JOB_AD&t=SR&vt=w&cs=1_b91ee5ae&cb=1629289453995&jobListingId=1007239000667&jrtk=2-0-1fdcjg612u3ek801-1fdcjg61gu1i3800-63e209e95f1a51df,NaN,NaN,NaN,NaN,Full-time,NaN,data scientist,NaN,NaN
Red Bull,4.3,Scuderia AlphaTauri - Junior Data Scientist,"Bicester, England","
Minimum 2-year work experience in similar roles 
Strong understanding of scientific programming languages such as Matlab, Python 
Strong understanding of a modern object-oriented language such as C#/Java 
Proficient with established computer/data science, machine learning, signal processing algorithms 
Familiar with established robotics and motion planning paradigms 
Capable of working to tight deadlines 
Proactive development of detailed specifications based on business requirements 
Excellent communication skills at both conceptual and technical levels 
Natural problem-solving abilities 
High degree of attention to detail 
Experience in Motorsports is a plus 
Computer/Data Science qualification or similar discipline to degree level 
Fluency in English 
Click here to learn more",https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=0000017b593817d59a9b27b61b4a7ce8&src=GD_JOB_AD&t=SR&vt=w&cs=1_fec45b93&cb=1629289453991&jobListingId=1007045581317&jrtk=2-0-1fdcjg612u3ek801-1fdcjg61gu1i3800-d427d8180bc27b3b,4.0,4.3,3.7,3.9,Full-time,Manufacturing,data scientist,10000+ Employees,NaN
Peak AI,4.5,Data Scientist,"Edinburgh, Scotland","
Open - excellent verbal and written communication skills, including the ability to clearly communicate complex information to those in other disciplines. Driven – shows high levels of drive, energy, resilience and a desire for professional excellence. Curious - naturally inquisitive with a problem-solving mindset. Smart – keeps up to date with the latest data science news, market results and industry announcements. Responsible - effectively balance priorities and work productively as part of the team. Prior experience in one or some of - statistical modelling, machine learning, data mining, unstructured data analytics, natural language processing. Programming skills/concepts and the ability to pick up new technology with ease. Prior experience in R, Python and/or other statistical tools/languages are a plus. Familiarity with relational databases and intermediate level knowledge of SQL are a big bonus as you’ll be working with different datasets. Sound understanding of a wide range of statistical techniques. The ability to understand and present findings to a non-technical audience. Prior experience in data visualization and/or deriving insight from a wide variety of data sources is a plus. Opportunity to make a large impact in a fast-growing company with global ambitions and influence Peak’s early success in entering the global market. Inclusive compensation package including best in class share options, pension and generous holiday entitlement. A fantastic working environment with open communication channels, flat team structure and a truly collaborative style. Great maternity leave benefits (more details here). Mental and physical health support through a variety of channels, e.g., Headspace and Spill app subscriptions, online yoga/boxing/HIIT classes, regular team days and social activities (online at the moment). Cycle to work initiative and public transport season ticket loans. Learn from like minded & talented team members across multiple disciplines. Opportunity to develop in various areas that you may take an interest in as part of your personal development.",https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=1136043&s=58&guid=0000017b593817d59a9b27b61b4a7ce8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8d5045d1&cb=1629289453996&jobListingId=1007230452134&jrtk=2-0-1fdcjg612u3ek801-1fdcjg61gu1i3800-1d377c781e5a71b9,4.2,4.5,4.5,4.2,Full-time,Information Technology,data scientist,51 to 200 Employees,NaN
Wagestream,4.9,Data Scientist,Remote,"Dive deep into how users use our suite of financial well-being tools through quantitative analysis, data segmentation and marketing attribution Understand user behaviours and long-term trends, identifying new levers to move key metrics and drive KPIs Influence product decisions and product launches through data-based recommendations (e.g. A/B tests) Work with engineers to implement data instrumentation Regularly communicate findings to stakeholders and rest of company 3+ years of experience as a data scientist, preferably in a product environment Excellent SQL skills Technical background and programming experience, especially in Python or R Applied statistical skills, e.g. distributions, statistical testing, regression Experience with anomaly detection and feature generation Experience conducting A/B experiments Experience working with stakeholders to gather requirements and understand needs A strong ability to communicate findings to non-technical stakeholders in a concise and engaging manner We will pay you what you're worth. We are fully committed to closing the gender pay gap, promoting diversity and inclusivity, and paying people what they deserve to be paid. We're a Remote First business - work from home or our London office - you choose! We will help you manage your busy lifestyle with flexible working opportunities, most of the team work ""core hours"" to allow touchpoints with your team, but we also make sure you have the time to pick the kids up at 3pm, or go for that mid-morning run to boost your productivity. We want you to have the best of both worlds. We offer 25 days annual leave in addition to public holidays (up to 5 day rollover), as well as flexible time off allowances for any ad-hoc childcare/family/caring needs. We offer 12 weeks paid maternity leave and up to 4 weeks paid paternity leave for employees with over 12 months service We will support you with your career endeavours. We are committed to internal progression, and offering our team members the best opportunities for growth. We want to invest in you the same way you're going to invest in us! We want you to invest in your future too, so we have a pension with Aviva - très chic! If you love cycling as much as we do, keep yourself physically fit with our Evans Cycles Ride to Work scheme And after a long weeks work, join us in undoing it all - with membership to The Wine Society. (They also do gin and beer!) We want everyone to achieve ""zen mastery"" with a free subscription to Calm — work can be stressful (we know!) and we want to help you switch off And the best benefit of all... Free access to Wagestream service - naturally!",https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1136043&s=58&guid=0000017b593817d59a9b27b61b4a7ce8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2e4e1d21&cb=1629289453993&jobListingId=1007199023579&jrtk=2-0-1fdcjg612u3ek801-1fdcjg61gu1i3800-97bfdf934bf508f2,4.8,4.9,4.9,4.7,Full-time,Finance,data scientist,1 to 50 Employees,"£45,000 - £65,000 (Employer Est.)"
